tweet,class,id,preprocessed_tweet
"Dale a ""me gusta"" en mi página de Facebook y recibirás en menos de 24 horas a un sodomita enloquecido por Amazon.",1,id=828022592414023681,dale me gusta en mi pagina de facebook recibiras en menos de horas un sodomita enloquecido por amazon
Eres socialista? Del psoe? https://t.co/5ShB4Ob2q7,0,id=828022558171729925,eres socialista del psoe
"Buah yo no me haría nunca un twitter, eso está lleno de rojos de mierda.",1,id=828022290730405889,buah yo no me haria nunca un twitter eso esta lleno de rojos de mierda
Os he contado la historia del guiri detrás mio? Que hombre más subnormal por favor,1,id=828021893395599360,os he contado la historia del guiri detras mio que hombre mas subnormal por favor
"¿eres heterofobica o no?, no te entiendo amiguita. — La heterofobia no existe cariño  https://t.co/dEm6sXp8UJ",0,id=828021865809641472,eres heterofobica no no te entiendo amiguita la heterofobia no existe carino
"Joder, que llega un punto en que alguien abre la boca para decir algo en favor del feminismo y lo matamos.",0,id=828021336391966720,joder que llega un punto en que alguien abre la boca para decir algo en favor del feminismo lo matamos
"Independentista dice que cultura, historia y lengua de #Valencia y #Baleares es suya: ""porque también es nuestra"". #LaIndependenciaEnsRoba https://t.co/mLP1f38UDS",0,id=828021222189498369,independentista dice que cultura historia lengua de valencia baleares es suya porque tambien es nuestra laindependenciaensroba
@Barandaand @lapaseata Los actores estos es que son todos unos fachas ...,1,id=828021138152423425,los actores estos es que son todos unos fachas
"el marica de ones cargo me dijo te voy a pegar un tiro   ""  2 semanas despues sigue en silencio y escondido """,1,id=828020402597330944,el marica de ones cargo me dijo te voy pegar un tiro semanas despues sigue en silencio escondido
A ver si le dan un Goya al youtuber que se llevó la hostia por subnormal.,1,id=828020302307287041,ver si le dan un goya al youtuber que se llevo la hostia por subnormal
@MrAlvatros25 @Edd33Martin ha hecho las dos subnormal,0,id=828019739532414976,ha hecho las dos subnormal
"@SabakJacare Ideas racistas, xenófobas, machistas... eso es lo que defiende Trump. Y lo siento pero todo no es respetable.Por eso lo comparo",0,id=828019737829449728,ideas racistas xenofobas machistas eso es lo que defiende trump lo siento pero todo no es respetablepor eso lo comparo
@Francis76440634 El Manchego Maricón debería tener esa sucia boca callada. Lo digo por su bien. Luego se esconde y con razón como las Ratas.,1,id=828019711002738692,el manchego maricon deberia tener esa sucia boca callada lo digo por su bien luego se esconde con razon como las ratas
"@AngelPtzuo Si un diutado del PP dijese que Wyoming, Évole o Ferreras ""Es una vergüenza"" lo tachariais de fascista para arriba... 😑",0,id=828019652349554689,si un diutado del pp dijese que wyoming evole ferreras es una verguenza lo tachariais de fascista para arriba
"@Francis76440634 El día que Preescolar ataque a la Izquierda, ese día me haré maricón, o sea NUNCA. JAJAJA",0,id=828019541242413061,el dia que preescolar ataque la izquierda ese dia me hare maricon sea nunca jajaja
Eres lesbiana? — No https://t.co/5UtfZTWgQb,0,id=828019202116218881,eres lesbiana no
Me siento profundamente subnormal empatizando tanto con mis propios personajes.,0,id=828018982041026560,me siento profundamente subnormal empatizando tanto con mis propios personajes
@NoALaIdDeGenero @lionalvawest @amazon @POTUS FASCISTAS DE SHARIA CRISTIANA HASTA EL CRIMEN !!! https://t.co/JISNsSQTUz,0,id=828018895596437504,fascistas de sharia cristiana hasta el crimen
@7Josean7 @Zurine3 @MiGorrotxategi @RoberUriarte @MonederoJC los dos sois estupendas y @Zurine3 ha defendido el feminismo y la dignidad,0,id=828018771730259969,los dos sois estupendas ha defendido el feminismo la dignidad
"@pepone34 @barreracuevasfr dos horas estuve clavando yo la señalita en el suelo, mamona!!",0,id=828018707758739457,dos horas estuve clavando yo la senalita en el suelo mamona
"Joven nigeriano podría ser deportado a su propia muerte. Suecia dice que no puede ""probar"" que es gay. Firma ya: https://t.co/hpIqFNTf0w",0,id=828018695200980993,joven nigeriano podria ser deportado su propia muerte suecia dice que no puede probar que es gay firma ya
"@FeelSpheal Me hice pasar por tia una vez en el lol y me llamaron feminazi, puta guarra, zorra y que tendria que estar fregando en la cocina",0,id=828018692042682371,me hice pasar por tia una vez en el lol me llamaron feminazi puta guarra zorra que tendria que estar fregando en la cocina
Ghostt subnormal se nota a la legua que eres tú el ... — Mira como llora el puto bizco https://t.co/1NKEvvwn0q,1,id=828018452157849600,ghostt subnormal se nota la legua que eres tu el mira como llora el puto bizco
Un independentista (ergo facha) me llama «nacionalista» #OleTú https://t.co/CleIOU8aQr,0,id=828018419102527488,un independentista ergo facha me llama nacionalista oletu
"@coquegarcia @AlbertGuma @Rlvrlvrlv . Tuene usted, independentista, los santos cojones de llamarme «nacionalista», siendo yo de izquierdas",0,id=828018098192121856,tuene usted independentista los santos cojones de llamarme nacionalista siendo yo de izquierdas
@7Estebaan el tweet lo ha escrito el mas fascista @JavitoBoned,0,id=828018052943970314,el tweet lo ha escrito el mas fascista
"No veo los #goya2017. Admiro a los actores normales, pero otros son millonarios subvencionados por todos los españoles...y presumen de rojos",0,id=828018031003574272,no veo los goya admiro los actores normales pero otros son millonarios subvencionados por todos los espanoles presumen de rojos
@Francis76440634 El Coletas es muy corto. Tiene en su mano embargar hasta los Calzones a Inda pero es demasiado Monguer.,1,id=828017960275103749,el coletas es muy corto tiene en su mano embargar hasta los calzones inda pero es demasiado monguer
"Y no crees que seas machista, homofobo, racista, etc? — Todos lo somos, desde luego, sobretodo por habernos... https://t.co/ODwO5NnvJD",0,id=828017863906693120,no crees que seas machista homofobo racista etc todos lo somos desde luego sobretodo por habernos
Tu a tu puta casa a lamerle el culo al otro retrasado lmao,1,id=828017718267871234,tu tu puta casa lamerle el culo al otro retrasado lmao
como hacer que una mujer hetero se vuelva bollera yahoo respuestas,0,id=828017573799350272,como hacer que una mujer hetero se vuelva bollera yahoo respuestas
Karra Elejalde es también sodomita???? #goya2017,0,id=828017423970398209,karra elejalde es tambien sodomita goya
El dictador me parece una película de 5 https://t.co/9GwEIx04aL en @tviso_es,0,id=828016918791647232,el dictador me parece una pelicula de en
@quiquechust Conclusión: Er Benni era un cabrón facha que ayudó a Trum,1,id=828016615711182849,conclusion er benni era un cabron facha que ayudo trum
La peli de Trueba tampoco ha ganado ningún Goya por culpa del boicot de los fachas #goya2017,0,id=828016604441088001,la peli de trueba tampoco ha ganado ningun goya por culpa del boicot de los fachas goya
@Lamismamente @SylvyAKo @polibueno691 @aeperio @albert_dmcat una andaluza orgullosa de ser española! Eres como si una negra fuera del KKKLan,1,id=828016528935235586,una andaluza orgullosa de ser espanola eres como si una negra fuera del kkklan
No creo que haya en el mundo alguien que me dé más asco y sea más subnormal que Dani Rovira.,1,id=828016483343163392,no creo que haya en el mundo alguien que me de mas asco sea mas subnormal que dani rovira
Ideas para congraciarse con los del #BoycotALosGoyas: Nombrar los premios con el callejero facha. Ej: Goya General Mola Mejor Guión Original,0,id=828016392104452096,ideas para congraciarse con los del boycotalosgoyas nombrar los premios con el callejero facha ej goya general mola mejor guion original
@Wleeed48190095  y seguramente tengo el rabo más largo que tú moro mierdaaa!,1,id=828016272441016320,seguramente tengo el rabo mas largo que tu moro mierdaaa
"@Carlospuli94 Desgraciadamente la afición ya no es lo prioritario; ahora lo son los televidentes, prioritariamente de China y donde sea...",0,id=828016180678033409,desgraciadamente la aficion ya no es lo prioritario ahora lo son los televidentes prioritariamente de china donde sea
"""Basta ya de levantar fronteras"", dice el premiado al Mejor Documental. ¿Lo dirá en contra del secesionismo catalán o en contra de Trump?",0,id=828016167298224128,basta ya de levantar fronteras dice el premiado al mejor documental lo dira en contra del secesionismo catalan en contra de trump
"Zozulia: ""Sólo quería ayudar al Rayo, yo no soy fascista"" https://t.co/WEobeRuHqI https://t.co/cU2w8L2o4c",0,id=828015421605371904,zozulia solo queria ayudar al rayo yo no soy fascista
Paz Vega va peinada como uno que estaba en mi clase del colegio que era monguer. #goya2017,0,id=828015327481053185,paz vega va peinada como uno que estaba en mi clase del colegio que era monguer goya
@FBarryX vente el sábado mamona,0,id=828015228956839937,vente el sabado mamona
Hostia el padre homófobo de Mauri,0,id=828015210736840704,hostia el padre homofobo de mauri
"Quede ofendida marica, ¿como va a decir eso?",0,id=828015205288439808,quede ofendida marica como va decir eso
@Exojo @el_pais Fachas y ateos. Que Dios fue Catalán y creo el Paraíso entre Lérida y Tarragona. 😂😂😂,0,id=828015116088143872,fachas ateos que dios fue catalan creo el paraiso entre lerida tarragona
Marico que risa con su tierrues JAJAJAJAJAJAJAJAJAJ,0,id=828014913629122560,marico que risa con su tierrues jajajajajajajajajaj
@AnthonyDashESP  Fav si eres retrasado,1,id=828014750042845184,fav si eres retrasado
Mi campaña contra llamar a los comunistas fascistas está siendo un fracaso...,0,id=828014677296893953,mi campana contra llamar los comunistas fascistas esta siendo un fracaso
"@hothorchata que por culo me dio el subnormal este, es asqueroso😡😡😡😡😠😠😠😠",1,id=828014578676142085,que por culo me dio el subnormal este es asqueroso
Tio me estoy descojonandones que es subnormal ahora me entra la tos,0,id=828014358198366209,tio me estoy descojonandones que es subnormal ahora me entra la tos
"Dani Rovira siendo subnormal, quién se lo podía imaginar.",1,id=828014236832059392,dani rovira siendo subnormal quien se lo podia imaginar
"A quienes hacen boicot con la excusa del ""patriotismo"": solamente el 8% de los actores/actrices de este país pueden vivir del cine #Goya2017",0,id=828014190480719873,quienes hacen boicot con la excusa del patriotismo solamente el de los actoresactrices de este pais pueden vivir del cine goya
"Y la afición, fría, cuando no protestona. No me parece que, en el partido, sea de mucha ayuda cantar contra Tebas o que esto es una mierda.",0,id=828014190094868480,la aficion fria cuando no protestona no me parece que en el partido sea de mucha ayuda cantar contra tebas que esto es una mierda
@KibaOcaso con los ojos rojos y gritando por un campo de batalla golpeando a gilipollas con otros gilipollas,0,id=828014090304024578,con los ojos rojos gritando por un campo de batalla golpeando gilipollas con otros gilipollas
".@materazziRBB Esos ""jóvenes pacíficos"" que estaban en el Maidán, quemaron a 43 personas vivas en Odessa. Zozulya es uno de ellos, mongolo.",1,id=828014017146937346,esos jovenes pacificos que estaban en el maidan quemaron personas vivas en odessa zozulya es uno de ellos mongolo
Propósito social: Feminismo y más mujeres en el cine.  Lógica: Poner a un hombre con un símbolo de opresión a la mujer dando el mensaje.,0,id=828013950046441472,proposito social feminismo mas mujeres en el cine logica poner un hombre con un simbolo de opresion la mujer dando el mensaje
@FuggingBleb ¿y eso es ser racista?Eso es ser pobre pedazo subnormal. Y el dinero se lo lleva Morales haciendo un museo de 8 millones ahí.,1,id=828013731716136961,eso es ser racista eso es ser pobre pedazo subnormal el dinero se lo lleva morales haciendo un museo de millones ahi
Y el premio al más dictador es: #goya2017  #GoyaParaFlorentino https://t.co/AbmyACyMoK,1,id=828013592356102144,el premio al mas dictador es goya goyaparaflorentino
"-Emo mongolo con gorra -Dice su edad con ""lvl"" -Bio de mongolo. - ""se patina guai en Sevilla"" - Dinosaur https://t.co/lUn8Ezdnpq",1,id=828013589801865219,emo mongolo con gorra dice su edad con lvl bio de mongolo se patina guai en sevilla dinosaur
El alcalde de Boston desafía a los fascistas mientras otros como Elon Musk les susurran al oído  https://t.co/SLMgHigYJx,0,id=828013503869046784,el alcalde de boston desafia los fascistas mientras otros como elon musk les susurran al oido
No sé cómo una mata a ti te pone esa mente tan loca; Cuando ella me lo hechó en la bebida esa… https://t.co/lYF4qUkIpx,0,id=828013464757104642,no se como una mata ti te pone esa mente tan loca cuando ella me lo hecho en la bebida esa
"@BroncesLOL con se vozarron, para que despues te pregunten si eres una chica. En tal caso seras una chica que fuma tabaco negro XDDDDD",0,id=828013090356748288,con se vozarron para que despues te pregunten si eres una chica en tal caso seras una chica que fuma tabaco negro xd
"@JotDownSpain si eres un pirata y recibes un punto negro,  lo llevas mal...",0,id=828013065186729984,si eres un pirata recibes un punto negro lo llevas mal
"No hace falta ir a Ucrania para saber que Zozulya es un nazi, o que Poroshenko es un asesino y un golpista. Bocazas. https://t.co/PgRTYkehk6",1,id=828012992000360449,no hace falta ir ucrania para saber que zozulya es un nazi que poroshenko es un asesino un golpista bocazas
"@elLoko_Returns ¿Esa es tu idea de patriotismo? Las empresas separatistas tb son minoría en la Cataluña, como los abducidos por #MafiaPujol https://t.co/JuF5CyIcHa",0,id=828012878745702401,esa es tu idea de patriotismo las empresas separatistas tb son minoria en la cataluna como los abducidos por mafiapujol
"@PinoHormail @FutbolResentido @juanma_rguez Perdonarle joder tuvo una infancia difícil, sus padres lo echaron de casa por retrasado",1,id=828012840757948420,perdonarle joder tuvo una infancia dificil sus padres lo echaron de casa por retrasado
"@Alexzee616 @AnthonyDashESP  Que aparentare ser retrasado,pero tu a mi no me conoces bien fuera de este río de gentuza toxica.",1,id=828012831647875072,que aparentare ser retrasado pero tu mi no me conoces bien fuera de este rio de gentuza toxica
Juristas catalanes lanzan un manifiesto por el respeto a la ley en pleno desafío independentista https://t.co/8zKsghQRog,0,id=828012790849863680,juristas catalanes lanzan un manifiesto por el respeto la ley en pleno desafio independentista
"Rollo: ""El Oscar al mejor sonido es para... el ruido del helicóptero que hacía con la boca el pavo este de Loca Academia de Policía"".",0,id=828012700986916866,rollo el oscar al mejor sonido es para el ruido del helicoptero que hacia con la boca el pavo este de loca academia de policia
Los besaculos de gringo no se enteran de que los gringos adoran a Almodóvar y nuestros actores son como realeza allí.,0,id=828012670272028673,los besaculos de gringo no se enteran de que los gringos adoran almodovar nuestros actores son como realeza alli
Si pudieran estos Fanáticos de UltraDerecha eliminarían todas las lenguas https://t.co/BIqgeFucxs https://t.co/wFw7sJOwo2,0,id=828012642006601729,si pudieran estos fanaticos de ultraderecha eliminarian todas las lenguas
"""Tengo tanta mierda en la cabeza, que la materia gris se está volviendo negra""",0,id=828012498871787521,tengo tanta mierda en la cabeza que la materia gris se esta volviendo negra
[SPOILER DE THE WALKING DEAD]... ¡¿PERO QUE COJONES LE PASA A ESTA NIÑA!? ESTA PUTAMENTE LOCA JODER!!! 😨😨😨😨 https://t.co/yuMgXCQnmH,0,id=828012464071655429,spoiler de the walking dead pero que cojones le pasa esta nina esta putamente loca joder
@db9cama5 que bien haces de maricon.................................. ¿por qué será? Homosexualidad egodistónica se llama tu problema mental,1,id=828012448905052161,que bien haces de maricon por que sera homosexualidad egodistonica se llama tu problema mental
@WillPro18 El chiste de los “maricones” es homófobo en cualquier contexto. Reírse de los accidentes laborales es rastrero. @AcLabEsp @BJK246,0,id=828012140665720833,el chiste de los maricones es homofobo en cualquier contexto reirse de los accidentes laborales es rastrero
#L6Neratrump Manipulando a tope en 5min:  1- No colgó 2- ¿Ultraderecha y supremacía blanca?   Está gente es insuperable.,0,id=828012080762613760,lneratrump manipulando tope en min no colgo ultraderecha supremacia blanca esta gente es insuperable
"Cada vez que sale un guiri a recoger un Goya hablando de puta pena, muere un gatito #Goya2017",0,id=828012036156223488,cada vez que sale un guiri recoger un goya hablando de puta pena muere un gatito goya
"@pmanglano El Goya al mejor guión original es para ""Ellos siempre cruzan en rojo (Aunque son muy azules)"" de @PPopular https://t.co/M99kRzIgCY",0,id=828011892912320512,el goya al mejor guion original es para ellos siempre cruzan en rojo aunque son muy azules de
"@Anuski24158940 me estoy poniendo negra, lo voy a quitar, es asqueroso",0,id=828011817855283201,me estoy poniendo negra lo voy quitar es asqueroso
"@simohayha1979 @roy_swan @20m @PartidoRepEs No creo que llamar fascista y vendido a Iñigo, hable bien de quien lo dice",0,id=828011208821313536,no creo que llamar fascista vendido inigo hable bien de quien lo dice
"@Cujjjo Me dio por ahí nada mas, y aparte que en el mensaje se me citó MAMÓN 😁",0,id=828011065883639808,me dio por ahi nada mas aparte que en el mensaje se me cito mamon
"@Dri69 qué pesada con el crossfit, maricón :P",1,id=828011047453917185,que pesada con el crossfit maricon
"Pedro Sánchez asegura que ""nunca"" un socialista será su adversario https://t.co/WBrrVu4RoK. vía @periodicoaragon",0,id=828011044345901058,pedro sanchez asegura que nunca un socialista sera su adversario via
@JuanitaAlba y la subnormal de la maleducada de Elettra no se ríe igual q la naranjita de los cojones o es una sensación mía????? no puedo!,1,id=828010895687180288,la subnormal de la maleducada de elettra no se rie igual la naranjita de los cojones es una sensacion mia no puedo
"@0_Aredhel_0 MAMONA, FIJO QUE TE COJO EL MÓVIL Y ENCUENTRO DICK PICKS DE OTRAS 20.",1,id=828010868805865473,mamona fijo que te cojo el movil encuentro dick picks de otras
#goya2017 joder el director de orquesta quien es? El hombre de negro? 😎Ridículo eh!!!,0,id=828010842163658752,goya joder el director de orquesta quien es el hombre de negro ridiculo eh
Eso lo acaba de decir mi Cari por wassap.  Capela maricón,0,id=828010614442303489,eso lo acaba de decir mi cari por wassap capela maricon
@Generaldepie_ se les debería caer la cara de vergüenza.Quien es Diego Alves para recriminar a la afición? Que se dedique a parar y a callar,0,id=828010186086440960,se les deberia caer la cara de verguenzaquien es diego alves para recriminar la aficion que se dedique parar callar
@65josetxu ¿Llamar dictador a Iglesias es sinónimo de votar al PP?,0,id=828010178918412290,llamar dictador iglesias es sinonimo de votar al pp
@Aqui_laBlanqui nain. Alejo Sauras sigue igual que en Los Serrano el mamón.,0,id=828010041512960000,nain alejo sauras sigue igual que en los serrano el mamon
"@xavicht Vega, cretino, que tenga usted mejor suerte de la que merecen su hipocresía y su sectarismo fascista",1,id=828010004032716800,vega cretino que tenga usted mejor suerte de la que merecen su hipocresia su sectarismo fascista
"Estoy en una fiesta y acabo de ver un libro titulado ""The Religions"" y sólo me puedo imaginar los capítulos: los putos moros...",1,id=828009913981005826,estoy en una fiesta acabo de ver un libro titulado the religions solo me puedo imaginar los capitulos los putos moros
@galsuinda el vendedor de cupones era un gilipollas. No sólo los ciegos venden cupones. Ni todos los extranjeros son migrantes o refugiados.,1,id=828009716404060160,el vendedor de cupones era un gilipollas no solo los ciegos venden cupones ni todos los extranjeros son migrantes refugiados
"Después del desprecio por parte d las autoridades en general, no compareciendo a la fiesta del cine nacional, patriotismo parcial #goya2017",0,id=828009699610071040,despues del desprecio por parte las autoridades en general no compareciendo la fiesta del cine nacional patriotismo parcial goya
"""Trump es un fascista que quiere un muro"" #L6NIglesias Esto me recuerda al día que dijo ""La caída del Muro de Berlín fue una mala noticia"" https://t.co/gdUx2h6WCy",0,id=828009196293586944,trump es un fascista que quiere un muro lniglesias esto me recuerda al dia que dijo la caida del muro de berlin fue una mala noticia
@Vulcano1982 pero si no sabe ni escribir el niñato...el haber si de su bio me ha dejado loca jajajaj,0,id=828009050864500737,pero si no sabe ni escribir el ninato el haber si de su bio me ha dejado loca jajajaj
"Siempre me ha encantado como, para los fascistas patrios, el cine español es basura y el extranjero lo mejor. Cosas de la vida #Goya2017",0,id=828008953925758977,siempre me ha encantado como para los fascistas patrios el cine espanol es basura el extranjero lo mejor cosas de la vida goya
"""Patriotismo es cuando el amor por tu propio pueblo es lo primero; nacionalismo, cuando el odio por los demás es lo primero."" https://t.co/LfLyhZKNvT",0,id=828008922871119873,patriotismo es cuando el amor por tu propio pueblo es lo primero nacionalismo cuando el odio por los demas es lo primero
Si es que soy una bollera malvada.,0,id=828008904240005120,si es que soy una bollera malvada
Un vídeo chulo: poner metal al rojo sobre hielo https://t.co/9BEx8ypt0x,0,id=828008802846961666,un video chulo poner metal al rojo sobre hielo
"Vicente Azpitarte, periodista y un poquito subnormal 😂😂😂😂😂😂😂 https://t.co/OyMigg74bp",1,id=828008671955279873,vicente azpitarte periodista un poquito subnormal
nena soy un basura pero un negro bendecido,0,id=828008544855285760,nena soy un basura pero un negro bendecido
"Hoy hay que llenar el Frigo de Alitas de pollo, cervezas, patriotismo y libertad porque mañana ES LA SUPERBOWL🏈🍔🥓🍻🇺🇸",0,id=828008478669160450,hoy hay que llenar el frigo de alitas de pollo cervezas patriotismo libertad porque manana es la superbowl
"Aquí las únicas víctimas son un club llamado Valencia Club de Fútbol, su historia y su afición. Por favor, el resto, se abstengan.",0,id=828008083460911104,aqui las unicas victimas son un club llamado valencia club de futbol su historia su aficion por favor el resto se abstengan
"@Alexzee616 @AnthonyDashESP  Dios,desde el 2012 sigue siendo igual de subnormal. Y si,también soy uno.pero eh cambiado varias cosas.El no",1,id=828007230523977733,dios desde el sigue siendo igual de subnormal si tambien soy unopero eh cambiado varias cosasel no
"Un Estado kurdo en Siria, será tan fascista y títere como el de Kosovo https://t.co/mJd9j7XYk1",0,id=828006907579351041,un estado kurdo en siria sera tan fascista titere como el de kosovo
"#L6Niglesias Por una vez no estoy de acuerdo con @Pablo_Iglesias_ ,Donald Trump no parece un facista, es un fascista",1,id=828006797394976768,lniglesias por una vez no estoy de acuerdo con donald trump no parece un facista es un fascista
"@Pablo_Iglesias_ llamando fascista a Trump, las cosas por su nombre  #l6niglesias",0,id=828006780458385410,llamando fascista trump las cosas por su nombre lniglesias
"..y tú @willyvin , al que no piensa como tú hay que insultarle, no?. Por lo de ""facha"",""bocachancla"" y tal ....!!! @LosantosPosts",0,id=828006766503931904,tu al que no piensa como tu hay que insultarle no por lo de facha bocachancla tal
"@Leonlec  feliz cumple leon , eres el mejor cubriendo a mis Aguilas y ya eres un consentido entre la afición Azulcrema!  ☺😊😘",0,id=828006680470249472,feliz cumple leon eres el mejor cubriendo mis aguilas ya eres un consentido entre la aficion azulcrema
"Sr Azpitarte es usted un demagogo y sobretodo un ignorante, venga usted si tiene valor y pongase en la grada mañana...acepte el reto https://t.co/IU7qOP6apH",1,id=828006671280697345,sr azpitarte es usted un demagogo sobretodo un ignorante venga usted si tiene valor pongase en la grada manana acepte el reto
"@Privateer_Drake Moby Dick, El cazador de barcos. El negro del Narcissus. Capitán de mar y guerra. La cacería. Mar cruel...Hay donde elegir.",0,id=828006181113307138,moby dick el cazador de barcos el negro del narcissus capitan de mar guerra la caceria mar cruel hay donde elegir
El domingo os estaré animando a muerte en el Arcangel. Dadle una alegría a la afición por favor @RodriRiosOfi @JuliCV7 @SergioAguza,0,id=828006125001908225,el domingo os estare animando muerte en el arcangel dadle una alegria la aficion por favor
Pues aqui viendo como hacen el monguer en #vipdirecto  Lo poco salvable de esa casa Emma y Daniela,0,id=828006043535998978,pues aqui viendo como hacen el monguer en vipdirecto lo poco salvable de esa casa emma daniela
"@LosantosPosts @Pablo_Iglesias_ Tú sí que eres un mamarracho facha, y bocachancla también.",1,id=828006040679620608,tu si que eres un mamarracho facha bocachancla tambien
"Carolina Punset del Partido UltraDerecha Ciudadanos ""Recuperar el Valenciano es emotivo pero poco útil para encontrar empleo"" https://t.co/BEjo4RysYb",0,id=828005734713524227,carolina punset del partido ultraderecha ciudadanos recuperar el valenciano es emotivo pero poco util para encontrar empleo
@lmbarragan67 @XSalaimartin los del cancer son los democratas k kieren votar... los teoricos sanos son los fascistas k lo impiden.... ya ves,0,id=828005645848891393,los del cancer son los democratas kieren votar los teoricos sanos son los fascistas lo impiden ya ves
"Hay que ser patriota en lo referente al cine pero nada más, no me seáis fachas. #goya2017",0,id=828005614009843714,hay que ser patriota en lo referente al cine pero nada mas no me seais fachas goya
Pedro Sánchez asegura que «nunca» será adversario de un socialista https://t.co/9r7AyP5Yqm | #Españahoy,0,id=828005239324286978,pedro sanchez asegura que nunca sera adversario de un socialista espanahoy
Al portarse como delicuentes los izquierdistas gringos están haciendo quedar pésimo al partido Demócrata. Sin querer están ayudando a Trump.,1,id=828005162207805443,al portarse como delicuentes los izquierdistas gringos estan haciendo quedar pesimo al partido democrata sin querer estan ayudando trump
"Una mierda de afición se merecen una mierda de equipo como el que tiene, seguit pasando que el club también se va a la mierda",1,id=828005116737380357,una mierda de aficion se merecen una mierda de equipo como el que tiene seguit pasando que el club tambien se va la mierda
@alycia_heda @empiezoporuve me has hecho llorar con el vídeo putona,0,id=828005095115747329,me has hecho llorar con el video putona
"#L6Niglesias @Pablo_Iglesias_ despreciando en directo así a @eduardoinda por no ser afín, demuestra el dictador totalitarista q lleva dentro",1,id=828005074865635329,lniglesias despreciando en directo asi por no ser afin demuestra el dictador totalitarista lleva dentro
"@JoseSnow18 es que no lo eres, es decir, qué más da ser hetero, el problema está en ser retrasado xd",1,id=828004936046739456,es que no lo eres es decir que mas da ser hetero el problema esta en ser retrasado xd
@mendeleiev si? Joder me quedo más tranquilo. Me paso el día pensando en que deben pensar q soy retrasado. Q también...,0,id=828004918686601216,si joder me quedo mas tranquilo me paso el dia pensando en que deben pensar soy retrasado tambien
"@jonviene poca hostia, no estoy muy católico",0,id=828004762469670912,poca hostia no estoy muy catolico
"He leído a un subnormal en el #BoicotALosGoya que decía que quería un cine español sin politizar, como el de Hollywood  ME PARTO LOS COJONES",0,id=828004675202998272,he leido un subnormal en el boicotalosgoya que decia que queria un cine espanol sin politizar como el de hollywood me parto los cojones
@publico_es pues nada a pegar navajazos a fascistas y nacis y que se jodan y se viene la policia pues ladrillazo y fuera. Justicia de España,1,id=828004312735440898,pues nada pegar navajazos fascistas nacis que se jodan se viene la policia pues ladrillazo fuera justicia de espana
